1.396666666666668277e-01,1.196525000000000460e+01
2.050000000000018474e-02,1.084508333333333496e+01
-6.166666666667097729e-03,9.927500000000001990e+00
1.624999999999765521e-02,8.783500000000003638e+00
1.624999999999765521e-02,7.782500000000001528e+00
-7.583333333336383930e-03,7.067500000000001670e+00
1.554166666666922936e-02,6.221416666666667261e+00
-8.291666666664809782e-03,5.220416666666667815e+00
-2.056250000000048317e-02,4.576916666666667410e+00
1.758854166666665719e-01,3.611666666666667247e+00
5.214687500000003695e-01,2.980083333333332973e+00
1.021968749999999204e+00,2.372333333333332739e+00
1.868052083333333613e+00,1.847999999999999865e+00
2.550134044117642773e+00,1.915482745098037842e+00
3.064962083333329090e+00,2.442283529411763521e+00
3.364280710784308681e+00,3.052893529411763840e+00
3.519926397058819489e+00,4.034658627450978585e+00
3.472035416666662044e+00,4.884723529411763465e+00
3.364280710784308681e+00,5.662951960784312178e+00
3.316389730392151236e+00,6.453153137254901139e+00
3.316389730392151236e+00,7.410972745098039383e+00
3.519926397058819489e+00,8.225119411764705291e+00
4.058699926470582753e+00,8.799811176470587526e+00
4.860873848039210188e+00,8.895593137254902416e+00
5.722911495098033541e+00,8.955456862745098334e+00
6.632840122549014339e+00,8.991375098039215530e+00
7.542768749999991584e+00,9.123075294117647616e+00
8.165351495098031265e+00,9.254775490196077925e+00
8.799906985294109418e+00,9.601985098039214961e+00
8.943579926470581754e+00,1.028443156862745056e+01
8.931607181372539728e+00,1.084715058823529432e+01
8.895688946078424308e+00,1.142184235294117656e+01
8.823852475490189917e+00,1.203245235294117599e+01
8.488615612745091354e+00,1.254728039215686231e+01
7.949842083333324538e+00,1.283462627450980520e+01
7.279368357843130966e+00,1.290646274509803959e+01
6.644812867647052812e+00,1.295435372549019704e+01
5.663507898635142368e+00,1.304255124036909308e+01
4.719097299925213207e+00,1.302279614994491297e+01
3.680857547632157889e+00,1.297450592890802668e+01
2.835778679486647746e+00,1.295036081838958353e+01
2.075207698155686842e+00,1.293828826313036195e+01
1.387072048380057154e+00,1.284170782105658937e+01
6.747912880859843199e-01,1.268476460268670891e+01
